0.050000, 19460909, 20040331
0.048000, 20040401, 20041031
0.047000, 20041101, 20041130
0.046000, 20041201, 20041231
0.044000, 20050101, 20050131
0.043000, 20050201, 20050331
0.044000, 20050401, 20051031
0.045000, 20051101, 20051231
0.047000, 20060101, 20060331
0.046000, 20060401, 20060630
0.049000, 20060701, 20060930
0.048000, 20061001, 20070531
0.049000, 20070601, 20070831
0.051000, 20070901, 20071231
0.052000, 20080101, 20080131
0.054000, 20080201, 20080331
0.052000, 20080401, 20080731
0.053000, 20080801, 20090131
0.050000, 20090201, 20090331
0.048000, 20090401, 20090430
0.047000, 20090501, 20090930
0.046000, 20091001, 20100228
0.047000, 20100301, 20100331
0.045000, 20100401, 20101231
0.044000, 20110101, 20110930
0.043000, 20111001, 20111130
0.042000, 20111201, 20120831
0.041000, 20120901, 20120930
0.040500, 20121001, 20130131
0.040100, 20130201, 20130831
0.040500, 20130901, 20130930
0.040600, 20131001, 20131031
0.040100, 20131101, 20140331
0.039600, 20140401, 20140430
0.039200, 20140501, 20140531
0.039100, 20140601, 20140630
0.038900, 20140701, 20140731
0.038700, 20140801, 20140831
0.037800, 20140901, 20141031
0.036900, 20141101, 20141130
0.036200, 20141201, 20141231
0.035500, 20150101, 20150131
0.035200, 20150201, 20150228
0.034200, 20150301, 20150331
0.032900, 20150401, 20150430
0.032500, 20150501, 20150531
0.032300, 20150601, 20150630
0.032400, 20150701, 20150731
0.032500, 20150801, 20150831
0.032900, 20150901, 20150930
0.032000, 20151001, 20151031
0.031400, 20151101, 20151130
0.030900, 20151201, 20151231
0.030400, 20160101, 20160131
0.029800, 20160201, 20160229
0.028900, 20160301, 20160331
0.028000, 20160401, 20160430
0.027500, 20160501, 20160731
0.027000, 20160801, 20160831
0.026500, 20160901, 20161231
0.026000, 20170101, 20170131
0.025500, 20170201, 20170331
0.025000, 20170401, 20190731
0.024000, 20190801, 20190831
0.022800, 20190901, 20190930
0.022400, 20191001, 20191031
0.022100, 20191101, 20191130
0.022000, 20191201, 20200430
0.022200, 20200501, 20200531
0.022000, 20200601, 20200630
0.022500, 20200701, 99991230
